test accuracy,recall,precision,trainingset_size,type,method,seed,percentage_spray
87.0,0.6474358974358975,0.9099099099099099,4000,active learning,uncertainty,8,0.48225
82.89999999999999,0.5224358974358975,0.8810810810810811,4500,active learning,uncertainty,8,0.4702222222222222
86.8,0.6538461538461539,0.8947368421052632,5000,active learning,uncertainty,8,0.4626
76.0,0.34935897435897434,0.7465753424657534,500,active learning,random,8,0.266
76.5,0.28205128205128205,0.8888888888888888,1000,active learning,random,8,0.278
80.10000000000001,0.38461538461538464,0.9448818897637795,1500,active learning,random,8,0.2793333333333333
81.10000000000001,0.44871794871794873,0.89171974522293,2000,active learning,random,8,0.2785
81.10000000000001,0.46153846153846156,0.8727272727272727,2500,active learning,random,8,0.282
81.6,0.4423076923076923,0.9324324324324325,3000,active learning,random,8,0.2886666666666667
81.3,0.40705128205128205,0.9844961240310077,3500,active learning,random,8,0.28914285714285715
79.7,0.36217948717948717,0.9658119658119658,4000,active learning,random,8,0.29025
84.39999999999999,0.5737179487179487,0.8861386138613861,4500,active learning,random,8,0.2946666666666667
85.3,0.5961538461538461,0.8985507246376812,5000,active learning,random,8,0.2998
76.0,0.34935897435897434,0.7465753424657534,500,active learning,uncertainty_monte_carlo,8,0.266
76.7,0.25961538461538464,0.9759036144578314,1000,active learning,uncertainty_monte_carlo,8,0.402
81.5,0.5544871794871795,0.7899543378995434,1500,active learning,uncertainty_monte_carlo,8,0.5026666666666667
83.89999999999999,0.5737179487179487,0.8647342995169082,2000,active learning,uncertainty_monte_carlo,8,0.4505
84.1,0.5448717948717948,0.9090909090909091,2500,active learning,uncertainty_monte_carlo,8,0.4388
85.2,0.6153846153846154,0.8727272727272727,3000,active learning,uncertainty_monte_carlo,8,0.4493333333333333
84.1,0.5416666666666666,0.9135135135135135,3500,active learning,uncertainty_monte_carlo,8,0.47
85.2,0.5961538461538461,0.8942307692307693,4000,active learning,uncertainty_monte_carlo,8,0.47075
85.7,0.592948717948718,0.9203980099502488,4500,active learning,uncertainty_monte_carlo,8,0.44022222222222224
85.1,0.5384615384615384,0.9710982658959537,5000,active learning,uncertainty_monte_carlo,8,0.4334
75.8,0.2916666666666667,0.8125,500,active learning,uncertainty,9,0.266
80.30000000000001,0.44871794871794873,0.8484848484848485,1000,active learning,uncertainty,9,0.403
83.6,0.4935897435897436,0.9625,1500,active learning,uncertainty,9,0.4246666666666667
